"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2017",42,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2002",12.1,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2012",26.9,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2014",27,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2015",26.2,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2017",25.8,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2002",32.2,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2012",32.9,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2014",37,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2015",36.5,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2017",37,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2002",8.7,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2012",21,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2014",21,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2015",19.7,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2017",18.3,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2002",9.1,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2012",8.8,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2014",9,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2015",10.1,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2017",10.1,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2002",34.9,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2012",39.7,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2014",40,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2015",41.3,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2017",47.6,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2002",13.3,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2012",15.1,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2014",16,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2015",16.3,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2017",22.2,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2002",9.8,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2012",21.6,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2014",31,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2015",31,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2017",31,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2002",7.3,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2012",10.6,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2014",8,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2015",9.5,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2017",9.3,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2002",5.9,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2012",15.7,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2014",16,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2015",16.3,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2017",17,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2002",16.7,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2012",25,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2014",23,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2015",28.3,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.3,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2002",16,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2012",36.8,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2014",37,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2015",42.4,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2017",42.6,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2002",34,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2012",38.7,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2014",39,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2015",37.3,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2002",29.2,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2012",32.2,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2014",32,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2015",31.4,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2017",34.2,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2002",36.4,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2012",39.6,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2014",40,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2015",39.6,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2017",39.6,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2002",20.2,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2012",23.7,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2014",24,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2015",27.4,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2017",28,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2002",19.1,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2012",28.7,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2014",29,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2015",34.8,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2017",34.8,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2012",17.3,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2014",19,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2015",18.7,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2017",20,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2002",28.3,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2012",36,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2014",36,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2015",41.1,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2017",39.1,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2002",45,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2012",44.7,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2014",45,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2015",43.6,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2017",43.6,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2002",23,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2012",28.5,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2014",29,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2015",32,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2017",32.5,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2002",4.2,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2012",14.2,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2014",14,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2015",14.9,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2017",14.9,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2002",17.9,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2012",22.3,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2014",23,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2015",29.4,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2017",30,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2002",14,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2012",17,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2014",18,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2015",19.4,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2017",19.1,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ALB","WOMENPOLVOICE","POLREPRES","PC","A","2014",18,
"ALB","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"DZA","WOMENPOLVOICE","POLREPRES","PC","A","2014",32,
"DZA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"ARG","WOMENPOLVOICE","POLREPRES","PC","A","2014",37,
"ARG","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ARM","WOMENPOLVOICE","POLREPRES","PC","A","2014",11,
"ARM","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"AZE","WOMENPOLVOICE","POLREPRES","PC","A","2014",16,
"AZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BGD","WOMENPOLVOICE","POLREPRES","PC","A","2014",20,
"BGD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BLR","WOMENPOLVOICE","POLREPRES","PC","A","2014",27,
"BLR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BIH","WOMENPOLVOICE","POLREPRES","PC","A","2014",21,
"BIH","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BRA","WOMENPOLVOICE","POLREPRES","PC","A","2014",9,
"BRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BGR","WOMENPOLVOICE","POLREPRES","PC","A","2014",25,
"BGR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"KHM","WOMENPOLVOICE","POLREPRES","PC","A","2014",20,
"KHM","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2002",12.5,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2012",14.2,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2014",14,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2015",15.8,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2017",15.8,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CHN","WOMENPOLVOICE","POLREPRES","PC","A","2014",23,
"CHN","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2012",38.6,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2014",12,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2015",33.3,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"HRV","WOMENPOLVOICE","POLREPRES","PC","A","2014",24,
"HRV","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CYP","WOMENPOLVOICE","POLREPRES","PC","A","2014",11,
"CYP","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"EGY","WOMENPOLVOICE","POLREPRES","PC","A","2014",2,
"EGY","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2002",17.8,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2012",19.8,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2014",21,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2015",23.8,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2017",26.7,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ETH","WOMENPOLVOICE","POLREPRES","PC","A","2014",28,
"ETH","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"GEO","WOMENPOLVOICE","POLREPRES","PC","A","2014",12,
"GEO","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"GHA","WOMENPOLVOICE","POLREPRES","PC","A","2014",11,
"GHA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"HTI","WOMENPOLVOICE","POLREPRES","PC","A","2014",4,
"HTI","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"IND","WOMENPOLVOICE","POLREPRES","PC","A","2014",11,
"IND","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"IDN","WOMENPOLVOICE","POLREPRES","PC","A","2014",19,
"IDN","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"IRN","WOMENPOLVOICE","POLREPRES","PC","A","2014",3,
"IRN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2002",14.2,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2012",20,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2014",23,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2015",26.7,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2017",27.5,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"KAZ","WOMENPOLVOICE","POLREPRES","PC","A","2014",24,
"KAZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2002",18,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2012",23,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2014",23,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2015",18,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2017",16,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2002",10.6,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2012",24.5,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2014",24,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2015",23.4,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2017",21.3,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"MKD","WOMENPOLVOICE","POLREPRES","PC","A","2014",34,
"MKD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"MYS","WOMENPOLVOICE","POLREPRES","PC","A","2014",10,
"MYS","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"MDA","WOMENPOLVOICE","POLREPRES","PC","A","2014",20,
"MDA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"MOZ","WOMENPOLVOICE","POLREPRES","PC","A","2014",39,
"MOZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"NGA","WOMENPOLVOICE","POLREPRES","PC","A","2014",7,
"NGA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"PAK","WOMENPOLVOICE","POLREPRES","PC","A","2014",21,
"PAK","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"PRY","WOMENPOLVOICE","POLREPRES","PC","A","2014",18,
"PRY","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"PER","WOMENPOLVOICE","POLREPRES","PC","A","2014",22,
"PER","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"PHL","WOMENPOLVOICE","POLREPRES","PC","A","2014",27,
"PHL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ROU","WOMENPOLVOICE","POLREPRES","PC","A","2014",13,
"ROU","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"RUS","WOMENPOLVOICE","POLREPRES","PC","A","2014",14,
"RUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"SAU","WOMENPOLVOICE","POLREPRES","PC","A","2014",20,
"SAU","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"SGP","WOMENPOLVOICE","POLREPRES","PC","A","2014",24,
"SGP","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2002",12.2,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2012",32.2,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2014",32,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2015",36.7,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2017",36.7,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ZAF","WOMENPOLVOICE","POLREPRES","PC","A","2014",42,
"ZAF","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"SDN","WOMENPOLVOICE","POLREPRES","PC","A","2014",25,
"SDN","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"TZA","WOMENPOLVOICE","POLREPRES","PC","A","2014",36,
"TZA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"THA","WOMENPOLVOICE","POLREPRES","PC","A","2014",16,
"THA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"UKR","WOMENPOLVOICE","POLREPRES","PC","A","2014",9,
"UKR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"ARE","WOMENPOLVOICE","POLREPRES","PC","A","2014",18,
"ARE","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"URY","WOMENPOLVOICE","POLREPRES","PC","A","2014",12,
"URY","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"VNM","WOMENPOLVOICE","POLREPRES","PC","A","2014",24,
"VNM","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ZMB","WOMENPOLVOICE","POLREPRES","PC","A","2014",12,
"ZMB","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"SRB","WOMENPOLVOICE","POLREPRES","PC","A","2014",33,
"SRB","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"AFG","WOMENPOLVOICE","POLREPRES","PC","A","2014",28,
"AFG","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"AGO","WOMENPOLVOICE","POLREPRES","PC","A","2014",34,
"AGO","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BHR","WOMENPOLVOICE","POLREPRES","PC","A","2014",10,
"BHR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BEN","WOMENPOLVOICE","POLREPRES","PC","A","2014",8,
"BEN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BTN","WOMENPOLVOICE","POLREPRES","PC","A","2014",6,
"BTN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BOL","WOMENPOLVOICE","POLREPRES","PC","A","2014",25,
"BOL","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BWA","WOMENPOLVOICE","POLREPRES","PC","A","2014",8,
"BWA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BFA","WOMENPOLVOICE","POLREPRES","PC","A","2014",16,
"BFA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"BDI","WOMENPOLVOICE","POLREPRES","PC","A","2014",31,
"BDI","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CMR","WOMENPOLVOICE","POLREPRES","PC","A","2014",31,
"CMR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"CAF","WOMENPOLVOICE","POLREPRES","PC","A","2014",13,
"CAF","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"TCD","WOMENPOLVOICE","POLREPRES","PC","A","2014",15,
"TCD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"COG","WOMENPOLVOICE","POLREPRES","PC","A","2014",7,
"COG","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2012",12.1,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2014",39,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2015",19.9,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CIV","WOMENPOLVOICE","POLREPRES","PC","A","2014",10,
"CIV","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"CUB","WOMENPOLVOICE","POLREPRES","PC","A","2014",49,
"CUB","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"PRK","WOMENPOLVOICE","POLREPRES","PC","A","2014",16,
"COD","WOMENPOLVOICE","POLREPRES","PC","A","2014",9,
"COD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"DOM","WOMENPOLVOICE","POLREPRES","PC","A","2014",21,
"DOM","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ECU","WOMENPOLVOICE","POLREPRES","PC","A","2014",39,
"ECU","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"SLV","WOMENPOLVOICE","POLREPRES","PC","A","2014",26,
"SLV","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"GNQ","WOMENPOLVOICE","POLREPRES","PC","A","2014",12,
"GNQ","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ERI","WOMENPOLVOICE","POLREPRES","PC","A","2014",22,
"ERI","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"FJI","WOMENPOLVOICE","POLREPRES","PC","A","2014",9,
"FJI","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"GAB","WOMENPOLVOICE","POLREPRES","PC","A","2014",16,
"GAB","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"GMB","WOMENPOLVOICE","POLREPRES","PC","A","2014",8,
"GMB","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"GTM","WOMENPOLVOICE","POLREPRES","PC","A","2014",13,
"GTM","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"GIN","WOMENPOLVOICE","POLREPRES","PC","A","2014",22,
"GIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"GNB","WOMENPOLVOICE","POLREPRES","PC","A","2014",14,
"GNB","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"HND","WOMENPOLVOICE","POLREPRES","PC","A","2014",20,
"HND","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"IRQ","WOMENPOLVOICE","POLREPRES","PC","A","2014",25,
"IRQ","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"JAM","WOMENPOLVOICE","POLREPRES","PC","A","2014",13,
"JAM","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"JOR","WOMENPOLVOICE","POLREPRES","PC","A","2014",12,
"JOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"KEN","WOMENPOLVOICE","POLREPRES","PC","A","2014",19,
"KEN","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"KWT","WOMENPOLVOICE","POLREPRES","PC","A","2014",6,
"KWT","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"KGZ","WOMENPOLVOICE","POLREPRES","PC","A","2014",23,
"KGZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"LAO","WOMENPOLVOICE","POLREPRES","PC","A","2014",25,
"LAO","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"LBN","WOMENPOLVOICE","POLREPRES","PC","A","2014",3,
"LBN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"LSO","WOMENPOLVOICE","POLREPRES","PC","A","2014",27,
"LSO","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"LBR","WOMENPOLVOICE","POLREPRES","PC","A","2014",11,
