"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ECU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",25.2,
"GNQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",53,
"GNQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",52.6,
"ERI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",71,
"ERI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",51.4,
"GAB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",50,
"GAB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",50.2,
"GMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",75,
"GMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.4,
"GTM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",7,
"GTM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11,
"GIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",92,
"GIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",92.1,
"GNB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",40,
"GNB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.8,
"HND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",16,
"HND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",12.4,
"IRQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",55,
"IRQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",54.8,
"JAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",3,
"JAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.9,
"JOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",70,
"JOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18,
"KEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",53,
"KEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.8,
"KWT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",39,
"KWT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",37,
"KGZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",36,
"KGZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",32.8,
"LAO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",81,
"LAO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.2,
"LBN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",10,
"LBN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",43.6,
"LSO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",37,
"LSO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",37.1,
"LBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",59,
"LBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.5,
"LBY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",28,
"LBY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",25.1,
"MDG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",32,
"MDG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",45.2,
"MWI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",13,
"MWI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",16.3,
"MLI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",87,
"MLI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",72.6,
"MNG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",10,
"MNG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.1,
"MAR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",32,
"MAR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22,
"NAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",35,
"NAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.2,
"NPL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",23,
"NPL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.9,
"NIC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",14,
"NIC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",13.7,
"NER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",60,
"NER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",59.6,
"PSE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",39,
"PSE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",38.7,
"QAT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",20,
"QAT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",6.6,
"RWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",56,
"RWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.4,
"SEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",60,
"SEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",56.5,
"SLE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",73,
"SLE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",62.8,
"SOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",76,
"SOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",75.7,
"LKA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",53,
"LKA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",53.2,
"SWZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",28,
"SWZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",19.9,
"TJK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",60,
"TJK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",59.6,
"TLS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",86,
"TLS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",86.2,
"TGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",43,
"TGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.7,
"TTO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",10,
"TTO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",9.9,
"TUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",30,
"TUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18.6,
"TKM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",38,
"TKM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",26.3,
"UGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",58,
"UGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.3,
"UZB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",42,
"UZB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.5,
"YEM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",38,
"YEM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",48.7,
"ZWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",40,
"ZWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",38.7,
"AUT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3,
"BEL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"CZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"DNK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",0,
"GRC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"IRL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",1,
"LUX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"PRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"SVK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5,
"AGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",25.2,
"CRI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3.5,
"CIV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",47.9,
"HRV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.4,
"CUB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3.9,
"CYP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.5,
"SLV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.7,
"FJI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.6,
"HKG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",26,
"LVA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"LTU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"MLT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",0,
"MRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",26.6,
"MMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",51.2,
"OMN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.9,
"PAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5.7,
"PRY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22.9,
"TWN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",21.6,
"MNE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2.7,
